count,word
148849,the
62919,and
34610,that
34601,page
26877,for
21406,was
18374,with
16373,this
15166,his
14202,not
10702,from
10237,secret
9937,have
9793,had
8832,has
8794,tho
8421,you
8186,been
8057,which
7824,are
7262,would
7039,will
6704,but
6592,were
6327,all
6063,they
6001,any
5642,who
5327,other
4959,one
4692,there
4589,subject
4339,about
4251,information
4136,cia
4028,him
3738,under
3641,also
3633,may
3526,their
3511,out
3484,these
3469,cuban
3456,only
3445,your
3426,did
3387,said
3310,when
3263,our
3245,could
3213,soviet
3091,she
3069,tbe
3017,tor
2950,what
2913,two
2886,her
2834,time
2807,station
2794,should
2789,during
2776,records
2772,kgb
2756,chief
2706,file
2706,security
2699,such
2669,can
2656,some
2637,use
2504,date
2480,president
2480,report
2448,case
2432,cuba
2408,new
2393,after
2387,city
2374,office
2363,made
2338,intelligence
2318,ill
2318,into
2308,than
2286,told
2270,first
2251,agency
2247,united
2224,action
2219,its
2195,american
2183,very
2162,assassination
2146,mexico
2134,director
2105,because
2090,contact
2032,then
2025,more
2015,copy
1988,june
1965,officer
1950,nosenko
1931,section
1928,operational
1915,since
1910,being
1858,april
1846,111
1812,john
1809,against
1808,review
1776,july
1763,act
1742,know
1732,through
1717,request
1701,over
1679,work
1642,dated
1632,cover
1617,201
1607,states
1605,que
1602,source
1598,name
1597,now
1587,embassy
1567,release
1559,general
1550,them
1543,number
1542,agent
1535,see
1528,end
1519,both
1506,service
1494,kennedy
1490,asked
1490,october
1474,fbi
1462,50955
1460,operations
1459,record
1449,government
1448,part
1443,before
1436,where
1434,used
1430,letter
1416,given
1415,those
1401,project
1398,received
1392,period
1385,foreign
1383,stated
1377,most
1377,staff
1375,people
1360,state
1357,personnel
1343,january
1336,three
1328,activities
1308,top
1307,take
1289,reported
1288,per
1272,last
1267,bad
1266,files
1256,following
1252,info
1252,well
1243,support
1234,until
1220,get
1219,department
1212,how
1211,does
1209,central
1207,document
1201,each
1199,nnd
1188,while
1168,special
1157,1964
1152,make
1136,official
1133,march
1131,might
1127,must
1120,like
1119,los
1118,1962
1108,group
1106,board
1104,same
1100,cite
1094,type
1092,within
1088,interest
1088,possible
1086,form
1086,just
1082,ano
1078,military
1069,many
1062,even
1059,further
1056,august
1054,castro
1054,deputy
1049,years
1042,between
1041,sent
1037,1963
1035,still
1033,meeting
1031,national
1021,present
1018,bis
1016,con
1005,division
1004,field
1002,november
1001,several
999,documents
997,order
997,upon
996,never
991,return
990,above
986,current
980,place
977,known
977,position
976,september
974,another
973,fact
972,message
971,1992
961,think
960,reports
960,travel
959,approval
959,left
956,give
944,whether
942,provided
937,training
936,february
924,december
918,requested
913,prior
912,able
909,personal
908,good
905,dispatch
905,later
904,political
902,2025
901,tile
899,according
898,ref
897,back
893,second
891,por
889,contract
889,duty
889,lie
889,york
887,1961
887,without
883,involved
872,specific
868,own
864,agents
863,area
861,call
860,full
854,oswald
852,iden
850,off
844,operation
839,certain
836,data
