count,word
136909,the
49891,and
28218,that
20612,page
18381,for
15260,was
14893,this
13484,with
10251,not
8778,have
8403,from
7925,intelligence
7915,fbi
7902,which
7379,are
7041,information
6148,has
5986,been
5965,would
5836,any
5442,all
5321,you
5262,had
5216,his
5147,bureau
5119,committee
4995,will
4973,other
4863,were
4528,such
4383,general
4184,these
4135,attorney
4055,may
4028,our
4003,should
3693,who
3541,security
3509,director
3405,but
3275,made
3258,there
3232,one
3172,memorandum
3151,united
3133,office
3119,they
3012,select
3003,your
2997,investigation
2886,special
2853,new
2814,its
2779,cia
2761,dated
2691,activities
2672,their
2664,concerning
2620,38614
2594,advised
2565,states
2527,letter
2471,time
2446,did
2438,staff
2430,black
2320,also
2308,request
2274,department
2272,being
2259,legal
2227,division
2216,ssc
2209,only
2189,out
2170,what
2139,tho
2114,agent
2112,files
2101,under
2096,section
2084,during
2072,some
2047,senate
2042,national
1954,two
1949,1975
1916,when
1914,federal
1883,date
1882,party
1871,file
1866,could
1843,foreign
1842,internal
1837,him
1834,members
1828,telephone
1818,agency
1811,subject
1804,counsel
1798,furnished
1757,copy
1742,following
1707,case
1692,document
1659,interview
1647,number
1643,review
1616,appropriate
1613,requested
1611,about
1604,matters
1602,field
1602,use
1595,available
1590,can
1582,whether
1574,agents
1561,through
1550,stated
1519,38608
1494,assistant
1461,into
1458,king
1454,house
1447,where
1427,because
1425,before
1421,over
1421,president
1388,regarding
1384,government
1377,senator
1376,provided
1368,unit
1363,report
1361,assigned
1357,criminal
1349,investigations
1340,response
1329,san
1329,state
1326,people
1323,specific
1319,those
1311,certain
1303,materials
1301,prior
1285,former
1283,panther
1277,individuals
1276,personnel
1261,matter
1251,might
1247,wannall
1239,documents
1239,each
1212,group
1210,within
1208,against
1206,said
1185,mail
1185,white
1181,program
1181,washington,
1175,item
1171,after
1168,since
1161,source
1156,secret
1155,between
1145,received
1142,order
1134,attached
1127,justice
1124,more
1112,agencies
1111,asked
1110,material
1107,domestic
1105,action
1104,soviet
1094,current
1094,deputy
1092,prepared
1081,upon
1078,communist
1078,very
1077,john
1071,make
1068,central
1059,operations
1059,used
1046,name
1042,set
1041,law
1039,first
1035,police
1033,luther
1030,captioned
1027,both
