count,word
266552,the
113780,and
57691,that
49199,page
45822,for
33626,was
30759,with
27887,this
24349,not
20495,from
16426,his
15714,have
15393,which
14870,are
13391,has
13204,had
12733,should
12664,been
12485,would
12442,any
12340,information
11996,you
11804,all
11554,will
10898,were
10493,security
10385,secret
10364,other
9752,bureau
9587,office
9374,who
8666,may
8439,they
8408,such
8283,but
7958,committee
7422,one
7053,cia
6821,date
6727,there
6546,intelligence
6487,your
6355,new
6316,when
6213,under
6156,fbi
6050,these
5958,subject
5820,united
5689,tho
5664,made
5627,agency
5593,their
5584,number
5466,must
5420,section
5338,staff
5283,also
5193,out
5177,only
5153,our
5144,use
5051,action
5012,about
4992,him
4911,general
4846,its
4800,states
4780,time
4779,name
4767,special
4761,file
4697,form
4681,being
4653,source
4567,what
4441,informant
4388,during
4323,report
4318,did
4261,advised
4223,following
4182,state
4086,could
4025,each
3993,two
3985,some
3984,director
3826,review
3819,national
3782,records
3718,group
3708,index
3667,foreign
3665,concerning
3640,department
3570,assassination
3569,letter
3567,can
3563,memorandum
3561,house
3549,said
3522,than
3515,after
3495,pages
3418,line
3416,government
3410,field
3369,stated
3333,activities
3333,contact
3323,those
3299,employee
3297,case
3255,sources
3227,investigation
3225,cuban
3225,request
3200,president
3191,copy
3149,more
3140,chief
3140,first
3070,into
3040,agent
3027,where
3021,party
2987,because
2987,part
2979,through
2954,top
2921,against
2894,furnished
2878,john
2869,service
2848,very
2822,received
2814,record
2800,used
2794,position
2771,files
2760,select
2741,appropriate
2740,officer
2728,over
2726,members
2724,meeting
2714,act
2708,federal
2689,attorney
2688,set
2677,confidential
2677,current
2665,january
2661,individuals
2655,she
2646,above
2628,black
2605,june
2587,complete
2574,then
2565,york
2540,division
2525,october
2525,station
2506,salary
2502,cover
2486,dated
2486,item
2486,personnel
2480,american
2474,public
2461,them
2458,soviet
2447,operations
2445,april
2437,see
2433,march
2432,upon
2389,whether
2385,individual
2374,before
2360,informants
2309,make
2294,within
2256,told
2252,data
2241,board
2232,same
2231,since
2230,order
2227,people
2215,july
2212,organization
2201,title
2192,august
2157,without
2155,washington,
2148,document
2140,cuba
2136,further
2134,might
2134,type
2129,city
2127,work
2112,material
2099,communist
2095,support
2089,both
2085,specific
2074,agents
2067,military
2055,given
2054,38321
2022,possible
2018,police
2016,between
2007,three
2003,deputy
1993,bpp
1993,period
1991,prior
1977,contacts
1966,available
1965,san
1963,november
1961,50955
1956,release
1946,present
1945,know
1937,official
1937,place
1927,most
1924,interest
1920,her
1896,member
1895,potential
1881,september
1880,employees
1880,now
1863,end
1855,regarding
1849,including
1848,asked
1848,copies
1820,legal
1809,subjects
1796,counsel
1796,status
1791,last
1789,known
1785,1975
1785,law
1785,program
1775,well
1766,statement
1761,business
1753,think
1747,until
1746,authority
1726,interview
1720,held
1717,policy
1710,list
1691,former
1688,requested
1684,certain
1680,approved
1680,take
1673,enter
1672,reported
1668,necessary
1667,documents
1666,payroll
1652,additional
1651,personal
1648,reports
1645,get
1629,shall
1622,how
1619,docld:32989529
1609,cases
1609,local
1609,taken
1607,subversive
1600,cards
1599,february
1597,matter
1588,central
1583,while
1582,political
1580,does
1577,provided
1576,indicated
1574,internal
1574,involved
1569,operation
1567,per
1562,fact
1555,include
1542,effective
1541,matters
1539,never
1532,executive
1529,total
1528,kennedy
1516,december
1516,ill
1516,officers
1504,services
1501,telephone
1499,control
1497,persons
1494,castro
1485,senate
1484,close
1473,secretary
1462,robert
1456,years
1444,prepared
1443,sent
1441,instructions
1433,area
1428,headquarters
1428,noted
1427,even
1417,code
1408,having
1406,assistant
1402,evidence
1402,like
1401,purpose
1396,project
1394,provide
1394,year
1393,cable
1393,white
1391,submitted
1385,chicago
1385,investigations
1379,left
1378,another
1375,address
1375,basis
1370,sac
1366,advise
1363,going
1362,joint
1357,operational
1356,several
1355,check
1355,forth
1353,obtain
1330,employment
1325,training
1309,names
1308,off
1307,give
1303,activity
1300,connection
1300,reason
1299,many
1297,agencies
1295,tor
1289,district
1284,senator
1284,tion
1281,reference
1277,1968
1274,just
1270,111
1269,included
1255,full
1255,way
1253,officials
1244,approval
1240,attached
1240,return
1239,own
1238,key
1229,here
1224,considered
1223,que
1220,question
1215,mexico
1212,los
1212,submit
1212,washington
1208,day
1207,tax
1206,william
1205,identification
1201,except
1194,back
1194,investigative
1191,person
1190,pay
1188,duty
1184,appointment
1184,ssc
1184,symbol
1182,good
1177,active
1175,handling
1175,leave
1174,women
1173,card
1173,organizations
1170,ion
1170,jaffe
1168,items
1167,called
1158,force
1153,outside
1147,obtained
1145,representatives
1140,still
1136,past
1135,pertinent
1133,nature
1132,next
1131,various
1126,coverage
1125,ray
1118,administrative
1113,classification
1112,classified
1110,country
1109,nor
1107,related
1103,plans
1101,paid
1099,change
1098,need
1094,ano
1093,plan
1091,particular
1090,four
1090,offices
1087,conducted
1085,according
1082,1963
1080,social
1078,point
1076,furnish
1076,nnd
1075,covert
1072,amount
1070,1962
1068,either
1067,every
1065,placed
1059,branch
1058,administration
1049,assigned
1048,income
1043,background
1043,original
1040,committee.
1036,ever
1033,although
1033,con
1032,previously
1030,please
1028,effort
1028,required
1028,system
1026,whom
1025,relationship
1022,defense
1018,air
1018,jfk
1018,travel
1014,believe
1010,groups
1009,much
1008,justice
1006,civil
1005,authorizing
1005,met
1004,come
1004,liaison
1000,second
998,press
991,room
988,least
987,cannot
986,authorization
986,knowledge
981,unit
979,summary
977,call
976,later
975,high
973,committee:
972,able
969,memo
968,chairman
968,immediately
967,appear
964,put
964,testimony
963,working
958,listed
957,war
956,court
956,information.
952,want
951,level
951,six
947,identified
947,went
945,determine
945,schedule
940,response
939,tbe
936,discussed
935,comments
931,important
931,statements
928,contained
925,developed
925,embassy
921,sensitive
919,ing
916,view
915,property
913,access
913,congress
912,richard
909,continued
909,nosenko
908,captioned
908,took
907,dissemination
906,monthly
906,results
897,1960
896,described
894,early
892,written
889,harvey
888,say
887,came
886,1967
886,payments
882,shown
881,west
878,felt
877,informed
876,changes
875,true
873,months
872,man
870,contacted
867,criminal
867,union
866,respect
864,identity
864,relating
863,based
860,requests
859,attention
859,old
858,panther
857,revolutionary
857,show
856,wanted
853,far
853,indicate
851,kind
849,found
848,right
847,money
843,among
843,future
841,standing
839,efforts
839,probably
837,five
836,annual
835,course
834,approximately
834,study
833,letters
832,38296
830,illinois
829,print
828,unless
827,agreed
826,article
824,responsibility
823,interested
820,got
815,result
813,aware
813,issue
813,university
812,develop
812,south
811,affairs
810,david
809,mentioned
809,questions
807,become
807,due
805,direct
804,proposed
800,oswald
797,paper
795,assistance
795,community
794,1964
791,lines
786,best
786,maintained
782,1972
780,lee
780,long
779,conduct
775,located
775,making
774,responsible
773,finance
773,testified
771,decision
771,knew
768,employed
768,hsca
767,rather
767,recall
764,done
764,enforcement
762,1969
762,james
761,days
759,continue
757,post
755,international
754,discussion
753,separate
752,disclosure
751,down
750,world
749,school
748,job
747,receipt
747,residence
746,news
745,regard
744,established
742,designated
741,authorized
741,details
741,filed
741,previous
740,reporting
739,armed
739,handled
738,detroit
738,labor
738,referred
736,1970
736,attempt
735,mail
735,why
733,kgb
732,read
728,communications
726,vietnam
721,less
720,via
720,violation
718,wife
717,development
717,major
716,receive
715,too
713,surveillance
712,iii
710,francisco
706,final
703,conference
703,county
702,keep
702,mar
702,meetings
701,help
701,membership
701,task
700,bissell
699,effect
699,note
698,mccone
696,clerical
696,hereby
696,interviews
696,returned
694,believed
694,front
692,1961
692,radio
690,clearly
690,meet
690,requesting
689,series
689,situation
688,87d
687,1992
687,identify
686,clerk
686,third
684,1971
684,funds
683,abortion
681,authorize
681,materials
681,tha
680,birth
680,box
679,already
677,army
676,double
674,clear
673,charge
673,initial
673,problems
670,houseof
669,numbers
668,latin
668,termination
666,demonstration
666,directed
666,peace
664,domestic
664,together
663,research
663,signed
662,below
661,enclosed
661,representative
661,rights
660,technical
659,fully
659,senior
658,arc
657,currently
656,once
655,limited
655,whose
653,free
651,employing
651,street
649,consider
649,contents
649,procedures
648,discuss
648,manner
648,problem
647,jan
644,basic
643,suggested
639,others
639,thought
638,forces
636,released
634,duties
634,recent
633,message
632,certification
632,countries
632,gross
632,power
631,pending
630,rules
629,month
625,leaders
625,regular
624,annuity
624,contain
624,home
624,possibility
621,opening
619,actions
619,continuing
618,let
618,private
617,great
615,relations
614,manual
614,socialist
612,few
612,information,
612,kept
611,counterintelligence
611,expected
610,appears
610,clearance
610,follow
610,himself
610,similar
609,reviewed
607,acting
605,contains
605,signature
605,visit
604,newspaper
604,open
602,concerned
602,thomas
601,assignment
600,addition
600,wannall
599,again
599,none
598,means
597,net
594,dci
594,things
593,activities.
593,california
593,times
592,maintain
591,1966
591,gave
590,doing
588,east
587,2025
586,worked
584,using
583,particularly
582,applicable,
581,consideration
581,ond
580,value
579,young
578,brief
577,movement
577,performance
576,actual
576,criteria
575,011
574,espionage
574,notes
573,feb
572,expenses
572,restrictions
571,assist
571,informant's
571,planning
570,brought
570,incident
570,issued
569,priority
569,reliable
567,trip
565,1977
564,accordance
564,indicating
564,neither
563,directly
563,info
562,trial
561,specifically
560,1965
560,miami
556,promptly
555,diplomatic
555,something
554,assassinations
554,attended
554,helms
554,oct
553,collection
553,conversation
553,cost
553,las
552,38613
552,dates
552,find
551,terms
550,run
549,certify
549,pertaining
548,tell
547,late
546,history
544,event
544,little
543,notice
543,side
542,evaluation
541,lie
541,student
540,areas
539,agreement
539,connected
539,del
539,researcher
537,contract
535,apr
535,purposes
535,teletype
534,dominican
533,concern
533,reserve
531,1973
